doc_id,text,sex,age_cohort,political_id3,college
immigrant_interviews_0285,우리나라에 기여도,Male,60+,Conservative,Some college or more
immigrant_interviews_0286,전문직,Male,40-49,Centrist,Some college or more
immigrant_interviews_0287,한국어를 할줄알면 적응이쉬우니까,Male,60+,Conservative,No college
immigrant_interviews_0288,단기이주계획이기때문에 그기간동안만 잘관리하면 된다,Female,40-49,Conservative,Some college or more
immigrant_interviews_0289,우리나라와 잘 맞는 거 같아서,Female,40-49,Conservative,Some college or more
immigrant_interviews_0290,성별 및 한국어 사용여부,Male,18-29,Centrist,Some college or more
immigrant_interviews_0291,"더 끌리고, 위험요소가 덜 한 사람 같아서",Female,30-39,Progressive,Some college or more
immigrant_interviews_0292,더 신뢰가 가서,Female,60+,Conservative,No college
immigrant_interviews_0293,확실히 일을 하려고 해서. 구직이 예정이 아니고 아예 합격된 상태이기 때문에.,Female,18-29,Progressive,Some college or more
immigrant_interviews_0294,취업을 해서,Male,30-39,Conservative,Some college or more
immigrant_interviews_0295,우리나라가 아니면 살기 힘들 것 같아서,Female,18-29,Progressive,No college
immigrant_interviews_0296,한국에서 잘 적응할수있어서,Male,50-59,Progressive,Some college or more
immigrant_interviews_0297,"노력, 이민 후보자의 태도",Male,30-39,Progressive,Some college or more
immigrant_interviews_0298,믿을수있어서,Female,18-29,Progressive,Some college or more
immigrant_interviews_0299,출산국,Female,30-39,Centrist,Some college or more
immigrant_interviews_0300,서투른 한국말사용,Male,60+,Conservative,Some college or more
immigrant_interviews_0301,최악 보다는 차악 이라서 ( 둘다 내키진 않음 ),Female,40-49,Centrist,No college
immigrant_interviews_0302,국가에 적극 적응 하려는 노략이 보인다,Female,50-59,Progressive,Some college or more
immigrant_interviews_0303,적응 가능성이 상대적으로 높다고 판단됨,Male,40-49,Progressive,Some college or more
immigrant_interviews_0304,전문직,Female,50-59,Conservative,Some college or more
immigrant_interviews_0305,구체적 목적을 가지고 있어서,Female,30-39,Centrist,Some college or more
immigrant_interviews_0306,"구직, 한국어 유창성, 한국 동화 용이",Female,60+,Progressive,Some college or more
immigrant_interviews_0307,우리나라에 정착하기 위해서는 언어가 우선이라고 생각되며 직업의 종류 또한 중요하다고 생각한다.,Female,40-49,Progressive,Some college or more
immigrant_interviews_0308,믿을수있으서,Female,40-49,Centrist,Some college or more
immigrant_interviews_0309,친근해서,Female,30-39,Centrist,Some college or more
immigrant_interviews_0310,동포,Female,50-59,Centrist,Some college or more
immigrant_interviews_0311,그냥,Male,18-29,Centrist,Some college or more
immigrant_interviews_0312,뚜렷하다,Male,18-29,Centrist,Some college or more
immigrant_interviews_0313,이미 베트남 사람들은 한국에 많이 와서 일을 하고있다,Male,18-29,Centrist,Some college or more
immigrant_interviews_0314,ㅎ하한ㄱ구국ㅁ미ㅁ마말,Female,18-29,Conservative,Some college or more
immigrant_interviews_0315,없음,Female,18-29,Centrist,Some college or more
immigrant_interviews_0316,여성이고 한국말을 쓸 줄 아는 사람을 고름.,Female,18-29,Progressive,Some college or more
immigrant_interviews_0317,맘가는대로 선택함,Female,50-59,Centrist,Some college or more
immigrant_interviews_0318,"구직활동을 하려거나 노동을 하려는 자, 그나라의 언어를 공부했다는 것은 살기위해 노력하는 것이기 때문에 선호함.",Female,18-29,Centrist,Some college or more
immigrant_interviews_0319,모름,Male,40-49,Progressive,Some college or more
immigrant_interviews_0320,망명이란게 쉬운일이 아니라서,Male,40-49,Progressive,Some college or more
immigrant_interviews_0321,더 안정적,Female,30-39,Centrist,Some college or more
immigrant_interviews_0322,친밀감,Male,60+,Progressive,Some college or more
immigrant_interviews_0323,여성이여서,Male,50-59,Progressive,Some college or more
immigrant_interviews_0324,의사로서 우리나라의 의료기술에 도움을 줄 수 있을 것 같다고 생각했기 때문입니다.,Female,18-29,Centrist,No college
immigrant_interviews_0325,지금도 의사는 많음,Male,60+,Conservative,No college
immigrant_interviews_0326,국적,Male,18-29,Conservative,No college
immigrant_interviews_0327,미국 일본,Female,18-29,Progressive,No college
immigrant_interviews_0328,믿음이 가는 쪽을 선택,Male,18-29,Progressive,Some college or more
immigrant_interviews_0329,신뢰감이 크다,Male,30-39,Centrist,Some college or more
immigrant_interviews_0330,구직활동에 대한 계획 또는 명확한 취업사실 확인,Male,18-29,Progressive,Some college or more
immigrant_interviews_0331,합리적인 것 같아서,Male,50-59,Centrist,Some college or more
immigrant_interviews_0332,북한 탈북자는 우리나라국민이다.,Male,18-29,Conservative,Some college or more
immigrant_interviews_0333,두나라밖에없어,Male,40-49,Centrist,Some college or more
immigrant_interviews_0334,농촌의 일손부족,Male,50-59,Progressive,Some college or more
immigrant_interviews_0335,구직활동기준,Male,18-29,Centrist,Some college or more
immigrant_interviews_0336,프로필을 보고 마음이가는데로 선택,Female,50-59,Centrist,No college
immigrant_interviews_0337,같은 한민족이기 때문에 북한사람을 선택함,Male,40-49,Progressive,Some college or more
immigrant_interviews_0338,예멘,Male,18-29,Centrist,Some college or more
immigrant_interviews_0339,언어,Male,30-39,Centrist,Some college or more
immigrant_interviews_0340,망명이기 때문에. 일시적인게 아니어서.,Female,40-49,Centrist,Some college or more
immigrant_interviews_0341,확실한 동기를 가지고 입국,Male,18-29,Centrist,Some college or more
immigrant_interviews_0342,"단기체류, 국적",Female,50-59,Progressive,Some college or more
immigrant_interviews_0343,국익에 도움,Male,50-59,Progressive,Some college or more
immigrant_interviews_0344,국가,Male,40-49,Conservative,Some college or more
immigrant_interviews_0345,직업이 의사이고 구직활동을 할 예정이라는 점 때문에,Female,18-29,Centrist,Some college or more
immigrant_interviews_0346,딱히 없음,Male,50-59,Progressive,No college
immigrant_interviews_0347,생산적인 직업을 가지고 있어서,Male,18-29,Centrist,No college
immigrant_interviews_0348,재정착하기 위해 노력하고 있는 점과 단기가 아닌 장기간이라는 점,Male,40-49,Progressive,Some college or more
immigrant_interviews_0349,여성으로서 나라에 이바지할 것같음,Female,60+,Conservative,Some college or more
immigrant_interviews_0350,단기근무가 아닌 망명이므로,Male,50-59,Progressive,Some college or more
immigrant_interviews_0351,유창한 한국어를 사용하고 동포이기 때문에,Female,30-39,Centrist,Some college or more
immigrant_interviews_0352,질문을 이해하기 어렵습니다.,Male,18-29,Conservative,Some college or more
immigrant_interviews_0353,개인적으로 베트남인을 선호.,Male,60+,Centrist,Some college or more
immigrant_interviews_0354,별다른 이유 없다,Female,30-39,Centrist,Some college or more
immigrant_interviews_0355,rmsid,Male,18-29,Centrist,Some college or more
immigrant_interviews_0356,취업,Male,50-59,Centrist,Some college or more
immigrant_interviews_0357,한국말 능통자,Male,18-29,Centrist,Some college or more
immigrant_interviews_0358,안정되게 정착할 가능성이 높다,Male,50-59,Centrist,Some college or more
immigrant_interviews_0359,"제일 우선 순위는 여성인가, 다음으로는 한국어를 조금이라도 할 수 있는가",Female,18-29,Progressive,Some college or more
immigrant_interviews_0360,그나마 불법체류자가 될 가능성이 낮아 보여서,Male,30-39,Progressive,Some college or more
immigrant_interviews_0361,신원의 확실함,Male,18-29,Centrist,Some college or more
immigrant_interviews_0362,출신국과 체류목적이 공부나 취업인 경우를 선호,Female,18-29,Centrist,Some college or more
immigrant_interviews_0363,"언어, 직업, 정착의욕",Male,60+,Centrist,Some college or more
immigrant_interviews_0364,고용확정,Male,50-59,Centrist,Some college or more
immigrant_interviews_0365,한국어를 할수있어서,Female,40-49,Progressive,No college
immigrant_interviews_0366,국적,Female,50-59,Progressive,Some college or more
immigrant_interviews_0367,어디서든 살기위한 노력은 이해해줘야할거같음,Female,50-59,Centrist,No college
immigrant_interviews_0368,장기적으로 한국인이 되지 않을 경우에 이민을 확정해주고 싶은 생각은 없지만 재정착을 목적으로 온 경우가 한국에 더 오래 있을 것 같다,Female,18-29,Centrist,Some college or more
immigrant_interviews_0369,모르겠음,Male,18-29,Centrist,Some college or more
immigrant_interviews_0370,망명자로 영구 정착에 안정적,Female,50-59,Centrist,Some college or more
immigrant_interviews_0371,좀더 나라에 필요하고 성실하게 일하고 살아갈수있는 사람들을 뽑았다.,Male,18-29,Centrist,No college
immigrant_interviews_0372,그냥 그런 마음이 들었다.,Female,30-39,Centrist,Some college or more
immigrant_interviews_0373,틉별한 이유없음,Female,50-59,Conservative,Some college or more
immigrant_interviews_0374,같은 민족에게 기회를 주고 싶다,Male,50-59,Progressive,Some college or more
immigrant_interviews_0375,다른 후보보다 구직이나 정착의 절박함이 더 큰 것 같아서.,Male,30-39,Progressive,Some college or more
immigrant_interviews_0376,한국어를 하면서 여성이기 때문이다,Male,40-49,Centrist,Some college or more
immigrant_interviews_0377,사회에 도움이 될것 같음,Male,30-39,Centrist,Some college or more
immigrant_interviews_0378,괜찮아보여서,Female,50-59,Centrist,Some college or more
immigrant_interviews_0379,한국어를 사용할 수 있어서,Female,18-29,Centrist,Some college or more
immigrant_interviews_0380,계약완료,Male,40-49,Conservative,Some college or more
immigrant_interviews_0381,확실한 이유가 있어서,Female,40-49,Centrist,Some college or more
immigrant_interviews_0382,단기근무 보다는 망명을 원하는 사람에게 기회를 주는게 맞지 않나 싶다.,Male,30-39,Progressive,No college
immigrant_interviews_0383,내국인에 대한 위해감이 없고 사회적 분위기를 흐리지 않을거 같아 선택함,Female,40-49,Centrist,Some college or more
immigrant_interviews_0384,한국 이민에 대한 의지가 있는 사람 같아서,Female,30-39,Progressive,Some college or more
immigrant_interviews_0385,두 사람다 적당해 보인다.,Male,30-39,Progressive,Some college or more
immigrant_interviews_0386,"지리적으로 먼국가에서 왔기때문,",Male,50-59,Conservative,Some college or more
immigrant_interviews_0387,국내인력보호,Male,40-49,Centrist,Some college or more
immigrant_interviews_0388,이민의 목적이 확실해야함,Male,18-29,Progressive,Some college or more
immigrant_interviews_0389,"출신국, 이민 사유가 마음에 든다",Female,30-39,Progressive,Some college or more
immigrant_interviews_0390,교육,Female,40-49,Conservative,No college
immigrant_interviews_0391,이ㅡㄴ전,Female,40-49,Conservative,Some college or more
immigrant_interviews_0392,직장이 보장된것같아서,Female,30-39,Progressive,Some college or more
immigrant_interviews_0393,안정적인 직업과 재국 이유가 확실한것 같아서,Male,40-49,Centrist,Some college or more
immigrant_interviews_0394,국익과 안전,Female,40-49,Progressive,Some college or more
immigrant_interviews_0395,대한민국에대한 관심,Male,40-49,Progressive,Some college or more
immigrant_interviews_0396,한국에서 살기를 원하는 사람을 우선으로 지원해 줘야 한다,Female,40-49,Conservative,Some college or more
immigrant_interviews_0397,취업확실예정자라서,Female,60+,Conservative,Some college or more
immigrant_interviews_0398,한국어 실력 및 기술,Male,50-59,Conservative,Some college or more
immigrant_interviews_0399,한국어실력 및 재정착,Male,40-49,Centrist,Some college or more
immigrant_interviews_0400,확실한 직업의식,Male,40-49,Progressive,No college
immigrant_interviews_0401,느낌적으로,Female,50-59,Centrist,Some college or more
immigrant_interviews_0402,별다른 이유는 없음,Male,40-49,Conservative,Some college or more
immigrant_interviews_0403,한국어 능숙과 직업,Male,40-49,Progressive,Some college or more
immigrant_interviews_0404,djqtdma,Male,60+,Centrist,No college
immigrant_interviews_0405,"언어의 문제, 이민의 동기(망명, 학업, 취업 등) 인종 및 동포 여부",Male,30-39,Conservative,Some college or more
immigrant_interviews_0406,없음,Female,30-39,Centrist,Some college or more
immigrant_interviews_0407,유창한 한국어,Male,50-59,Centrist,Some college or more
immigrant_interviews_0408,민족적 폐쇄성이 높은 우리나라에서 북한사람은 그나마 우리문화에 적응하기가 쉽다,Male,18-29,Centrist,No college
immigrant_interviews_0409,여성,Female,18-29,Centrist,Some college or more
immigrant_interviews_0410,구직계획있으므로,Female,40-49,Centrist,Some college or more
immigrant_interviews_0411,그냥,Female,40-49,Conservative,Some college or more
immigrant_interviews_0412,한국어구사능력 및 취업기준,Female,30-39,Progressive,Some college or more
immigrant_interviews_0413,동포인경우와 우리나라 언어의 유창성,Male,40-49,Centrist,Some college or more
immigrant_interviews_0414,신뢰가 간다,Female,40-49,Centrist,Some college or more
immigrant_interviews_0415,타국인중 우리나라를 더 좋아하는 나라의 이민 후보자를 선택하였음,Female,40-49,Centrist,Some college or more
immigrant_interviews_0416,"사회 내에서의 정착에 대한 의지가 취업 여부, 언어 시도 여부에서 엿보았다.",Female,30-39,Conservative,Some college or more
immigrant_interviews_0417,전문직,Male,50-59,Centrist,Some college or more
immigrant_interviews_0418,출신국가와 언어사용 능력때문에,Female,18-29,Centrist,Some college or more
immigrant_interviews_0419,한국말 사용 여부,Male,40-49,Progressive,Some college or more
immigrant_interviews_0420,싫음,Female,50-59,Centrist,No college
immigrant_interviews_0421,한국내 중국인 진찰에 유용할거 같고 전문직이라,Female,40-49,Centrist,Some college or more
immigrant_interviews_0422,이슬람교도는 위험해서,Male,60+,Centrist,No college
immigrant_interviews_0423,구직계획이 있어서,Female,40-49,Centrist,Some college or more
immigrant_interviews_0424,연구원,Female,60+,Progressive,No college
immigrant_interviews_0425,우리나라에서의 적응 가능성 및 기여도를 고려,Female,30-39,Progressive,Some college or more
immigrant_interviews_0426,위험의 척도,Male,40-49,Conservative,Some college or more
immigrant_interviews_0427,노력하는 모습이 보여서,Male,50-59,Progressive,Some college or more
immigrant_interviews_0428,의사소통이 무엇보다 중요하다고 생각해서,Female,40-49,Progressive,No college
immigrant_interviews_0429,재정착이며 서투르더라도 한국어를 사용할 줄 알기 때문,Female,18-29,Conservative,Some college or more
immigrant_interviews_0430,아는 지인중에 탈북자가잇기 때문에 북한 사람에 대한 인식이 좋다,Male,18-29,Conservative,No college
immigrant_interviews_0431,한국사회에 적응을 잘할것 같아서,Female,30-39,Centrist,Some college or more
immigrant_interviews_0432,한국문화에 쉽게 적응할 수 있을 것 같아서,Male,40-49,Progressive,Some college or more
immigrant_interviews_0433,예멘 보다는 일본인이 조금은 더 믿을만함,Male,30-39,Progressive,Some college or more
immigrant_interviews_0434,망명을 원하고 있어서 실제로 살아갈 터전을 원하고있고 직업도 확실하고 같은 동포이기 때문이다,Female,30-39,Progressive,Some college or more
immigrant_interviews_0435,믿응이 간다,Male,60+,Centrist,Some college or more
immigrant_interviews_0436,없음,Female,50-59,Centrist,No college
immigrant_interviews_0437,유창하지는 않지만 한국어를 배운 상태라 의사소통이 가능 할 것 같아서,Female,30-39,Centrist,Some college or more
immigrant_interviews_0438,구직 계획 있음,Female,50-59,Centrist,Some college or more
immigrant_interviews_0439,도움이 더 되는 쪽으로 생각했다,Male,40-49,Centrist,Some college or more
immigrant_interviews_0440,언어가 통해야지,Female,50-59,Centrist,No college
immigrant_interviews_0441,의사라는 직업은 중요한 직업이라 생각해서 선택하였습니다,Female,40-49,Conservative,No college
immigrant_interviews_0442,망명사유에 따라 다르겠지만 정치적이나 사회적 핍박을 벗어나기 위한 망명에 대해서는 물의를 일으키지 않는 선에서 받아주는것이 옳다고 생각한다,Female,30-39,Progressive,No college
immigrant_interviews_0443,"예멘은 선호하지 않고, 북한동포는 선호하며, 한국에 이민왔을때 정서적, 종교적 영향을 미치지 않을것 같은 사람을 선호합니다. 공부를 많이하고 한국어를 해도 범법자나, 자신의 나라의 종교, 예의범절, 슴관, 음식등을 고집할수있는 사람이라면 이민허가를 고려해봐야한다고 생각합니다. 한국이 살기좋은 나라, 아이낳고 싶은 나라가 되기를 바랍니다. 모두 한국을 떠나 이민을 가고 싶어하니까요. 오히려 다른 나라 사람으로 한국을 채울경우 그래도 한국인의 정서가 유지될수있는 사람이면 어떨까합니다.",Female,50-59,Centrist,Some college or more
immigrant_interviews_0444,"한국어 능력, 취업여부 등",Female,18-29,Progressive,No college
immigrant_interviews_0445,동포인지 먼저 확인하고 선택했다,Male,40-49,Progressive,Some college or more
immigrant_interviews_0446,신분보장,Male,60+,Progressive,Some college or more
immigrant_interviews_0447,취업계획 완료,Female,50-59,Centrist,No college
immigrant_interviews_0448,생계를 위한 이민이라,Male,18-29,Centrist,Some college or more
immigrant_interviews_0449,여성 농업인,Male,40-49,Progressive,Some college or more
immigrant_interviews_0450,동포라는 이유가 제일 큰거같다,Female,40-49,Centrist,No college
immigrant_interviews_0451,"고용주와 계약 완료를 하였고, 우리나라 언어를 구사한다는 점",Female,18-29,Centrist,Some college or more
immigrant_interviews_0452,목적이 보임,Female,30-39,Progressive,Some college or more
immigrant_interviews_0453,한국어 사용 유무와 직업,Female,40-49,Progressive,Some college or more
immigrant_interviews_0454,미국,Male,18-29,Centrist,Some college or more
immigrant_interviews_0455,망명은 생명과 직결 될것 같으므로 취업보다는 우선하여야 할것 같아 선택,Male,60+,Conservative,Some college or more
immigrant_interviews_0456,"여행을다녀와서,이해함.",Male,60+,Centrist,No college
immigrant_interviews_0457,어느정도 한국어 소통이 가능하고 유망해 보인다.,Male,50-59,Centrist,No college
immigrant_interviews_0458,우리나라에 해가 덜될것같은사람을 선택,Female,30-39,Centrist,Some college or more
immigrant_interviews_0459,될것같아서,Female,40-49,Centrist,Some college or more
immigrant_interviews_0460,안전할것 같다,Female,50-59,Centrist,Some college or more
immigrant_interviews_0461,내 주관적 느낌으로,Male,60+,Centrist,Some college or more
immigrant_interviews_0462,없음,Male,60+,Progressive,No college
immigrant_interviews_0463,우리나라에서 적응이 빠르것 같아서,Female,50-59,Centrist,Some college or more
immigrant_interviews_0464,목적이 분명하고 문제가 일어나지 않을거 같아서,Female,40-49,Centrist,No college
immigrant_interviews_0465,한국말이 가능하고 고용계약이 되있음,Female,40-49,Centrist,No college
immigrant_interviews_0466,직업상 좋다,Male,50-59,Centrist,Some college or more
immigrant_interviews_0467,계약 완료,Male,30-39,Centrist,Some college or more
immigrant_interviews_0468,확실한 구직활동을 목적으로 하므로,Male,40-49,Progressive,Some college or more
immigrant_interviews_0469,사회적 약자,Female,30-39,Progressive,Some college or more
immigrant_interviews_0470,앙숙이지만 저들을 안받아주기에는 너무 너그럽지 못하단 생각이 듭니다.,Male,18-29,Centrist,Some college or more
immigrant_interviews_0471,일본인이니까,Male,60+,Conservative,Some college or more
immigrant_interviews_0472,딱히 선호하는 것은 아니고 두분다 이민을 받아들여야 한다고 생각함,Female,60+,Progressive,Some college or more
immigrant_interviews_0473,"직업이 연구과학자이고, 취업까지 완료된 상태였다. 언어적인 부분이 걸리지만 장기적으로 봤을때 한국에 도움이 될수 있는 사람이라고 생각을 했기 때문",Male,18-29,Progressive,Some college or more
immigrant_interviews_0474,좋음,Female,30-39,Centrist,Some college or more
immigrant_interviews_0475,한국어가 유창하다 의사로서 활동하려면 한국어가 가능한 사람이 진료에 훨씬 효과적이다,Male,50-59,Conservative,Some college or more
immigrant_interviews_0476,이미 한국에서 일에 관한 계약을 맺어서,Female,30-39,Centrist,Some college or more
immigrant_interviews_0477,테러위험이 없어보인다,Male,30-39,Conservative,No college
immigrant_interviews_0478,더 조건이 안좋은 상황,Female,40-49,Centrist,Some college or more
immigrant_interviews_0479,한국어 능력 이 있어서,Female,40-49,Conservative,No college
immigrant_interviews_0480,고도 기술력을 가져서,Male,18-29,Progressive,Some college or more
immigrant_interviews_0481,먼저 이민와서 정착하려는 목적이 국내에 부합해야하며 한국어를 익히려는 노력이 엿보여야하고 거주시 본국과 별개로 다른 문화에 융화하려는 노력이 있어야함,Female,40-49,Progressive,Some college or more
immigrant_interviews_0482,민족,Female,50-59,Centrist,Some college or more
immigrant_interviews_0483,미국보다는 중국이 더 나음,Female,50-59,Progressive,Some college or more
immigrant_interviews_0484,안전성,Male,40-49,Progressive,Some college or more
immigrant_interviews_0485,신뢰도,Male,30-39,Centrist,Some college or more
immigrant_interviews_0486,도움이 되는 사람들,Male,18-29,Centrist,Some college or more
immigrant_interviews_0487,같은 민족이기에,Female,40-49,Progressive,No college
immigrant_interviews_0488,같은 민족이니,Female,30-39,Conservative,Some college or more
immigrant_interviews_0489,한국어가 유창함,Male,50-59,Progressive,No college
immigrant_interviews_0490,유창한 한국어 실력,Male,50-59,Conservative,Some college or more
immigrant_interviews_0491,우리나라에서 문제를 일으킬것 같지가 않다,Male,40-49,Centrist,No college
immigrant_interviews_0492,"우선 한국어 가능 여부를 우선시했고, 그 다음은 기술 그다음 동포여부를 가림",Male,30-39,Progressive,Some college or more
immigrant_interviews_0493,여성이라서,Female,50-59,Conservative,Some college or more
immigrant_interviews_0494,일본은 우리의 주적이니까요,Male,50-59,Centrist,No college
immigrant_interviews_0495,믿음이 가서,Female,18-29,Progressive,Some college or more
immigrant_interviews_0496,우선은 동포나 이민자 위주로 선택권을 주는게 국내 노동자들도 보호하고 서로 상생할 수 있는 기회라고 생각함.,Female,40-49,Progressive,Some college or more
immigrant_interviews_0497,최근 한국으로 인입 되는 외국인의 사회적 문제가 많이 발생되어 그것을 초점으로 선택함,Female,30-39,Progressive,Some college or more
immigrant_interviews_0498,의사 동포 재정착,Female,60+,Progressive,Some college or more
immigrant_interviews_0499,"확실한 고용승계, 국적고려",Male,18-29,Conservative,Some college or more
immigrant_interviews_0500,소통의 가능성,Male,40-49,Centrist,Some college or more
immigrant_interviews_0501,"취업, 한국어 노력",Female,30-39,Centrist,No college
immigrant_interviews_0502,북한사람보다 훨씬 믿음직 스러워서,Female,50-59,Centrist,Some college or more
immigrant_interviews_0503,"이민자체를 허가하지 않는쪽 입장이긴 한데, 둘중에 굳이 한쪽을 고르자면 여성쪽을 선택했습니다. 제가 여자라서.",Female,30-39,Progressive,Some college or more
immigrant_interviews_0504,취업처가 예정되어있음,Female,18-29,Centrist,Some college or more
immigrant_interviews_0505,조금더 우리나라에 도움이 되는 사람을 뽑고자함,Female,30-39,Progressive,Some college or more
immigrant_interviews_0506,조금 더 끌려서,Female,18-29,Centrist,Some college or more
immigrant_interviews_0507,북한 출신,Female,50-59,Progressive,Some college or more
immigrant_interviews_0508,망명이니까,Male,18-29,Centrist,Some college or more
immigrant_interviews_0509,한국에서 제대로 일을 하고 사회 일원으로서 살아갈 의지가 있어서,Female,18-29,Conservative,Some college or more
immigrant_interviews_0510,망명은 생명의 위험때문으로,Male,60+,Centrist,Some college or more
immigrant_interviews_0511,그냥,Male,18-29,Centrist,No college
immigrant_interviews_0512,취업목적에 한국어를 할줄 알아서,Female,40-49,Conservative,Some college or more
immigrant_interviews_0513,잘 모르겠음,Male,40-49,Centrist,Some college or more
immigrant_interviews_0514,우리나라에 도움이 될것 같아서,Female,50-59,Conservative,Some college or more
immigrant_interviews_0515,국내에 도움이 되는지 1순위 고려,Male,50-59,Centrist,Some college or more
immigrant_interviews_0516,출신국가도 괜찮고 과학에 도움이 될 것 같아서,Male,18-29,Conservative,Some college or more
immigrant_interviews_0517,고용주와의 계약 완료,Male,60+,Centrist,Some college or more
immigrant_interviews_0518,"프로그래머의 경우, 한국어를 유창하게 할 필요가 없을 수 있어서",Female,18-29,Centrist,Some college or more
immigrant_interviews_0519,구직활동을 당장 할수있기에,Female,50-59,Progressive,Some college or more
immigrant_interviews_0520,의사소통의 가능,Female,18-29,Centrist,Some college or more
immigrant_interviews_0521,교사,Male,60+,Progressive,No college
immigrant_interviews_0522,"어차피 동포이고, 적응하려면 시간이 걸리겠으나, 적응할 수 있으리라 생각한다.",Female,40-49,Progressive,Some college or more
immigrant_interviews_0523,구직 경제활동여부,Male,18-29,Centrist,Some college or more
immigrant_interviews_0524,안전을 보장할 수 있어서,Female,50-59,Centrist,Some college or more
immigrant_interviews_0525,한국어 활용 가능 여부,Female,18-29,Progressive,Some college or more
immigrant_interviews_0526,동포,Male,18-29,Centrist,Some college or more
immigrant_interviews_0527,서툴더라도 한국어를 할 줄 안다는 것.,Male,18-29,Centrist,No college
immigrant_interviews_0528,한국 사회에 기여 가능 여부,Male,50-59,Centrist,Some college or more
immigrant_interviews_0529,적응의지여부,Male,40-49,Progressive,Some college or more
immigrant_interviews_0530,그냥,Female,18-29,Centrist,No college
immigrant_interviews_0531,우리 동포라서,Female,50-59,Conservative,Some college or more
immigrant_interviews_0532,유창한 언어 능력,Male,50-59,Conservative,Some college or more
immigrant_interviews_0533,한국어 구사,Female,40-49,Centrist,Some college or more
immigrant_interviews_0534,안정감있어서 선택하게 되었습니다.,Female,30-39,Conservative,Some college or more
immigrant_interviews_0535,모두 선호하지는 않지만 일본은 이미지가 싫어서 굳이 섡택해야 한다면 일본인이 아닌사람,Female,50-59,Centrist,Some college or more
immigrant_interviews_0536,직업이 의사라서.,Female,30-39,Centrist,Some college or more
immigrant_interviews_0537,정착에 별 어려움이 없을 것 같아서,Female,50-59,Centrist,Some college or more
immigrant_interviews_0538,이유,Female,18-29,Centrist,No college
immigrant_interviews_0539,한국 말을 할수 있으며 의사 직업을 가지고 있음. 또한 취업 면접까지 된 상태로 이민의 자격이 충분하다고 봄. 다만 망명의 사유는 확인이 되어야 함.,Male,40-49,Conservative,Some college or more
immigrant_interviews_0540,어느정도 익숙한 사람이 맞는 것 같다,Female,50-59,Progressive,Some college or more
immigrant_interviews_0541,북한동포,Female,50-59,Progressive,Some college or more
immigrant_interviews_0542,오른쪽 후보자보다는 조금은 한국에 이민하려는 성의가 보여서,Female,30-39,Centrist,No college
immigrant_interviews_0543,취업은 국내 정착을 용이하게 한다.,Male,30-39,Progressive,Some college or more
immigrant_interviews_0544,북한 출신 동포,Male,50-59,Centrist,Some college or more
immigrant_interviews_0545,이유는 없습,Male,18-29,Centrist,No college
immigrant_interviews_0546,경력이 좋은 사람을 이민 후보자로 선정하기 좋기 때문,Male,18-29,Centrist,No college
immigrant_interviews_0547,선호는 아니지만 고급인력이면 필요할수도,Male,18-29,Centrist,Some college or more
immigrant_interviews_0548,우리나라에필요함,Male,30-39,Progressive,Some college or more
immigrant_interviews_0549,필요한 업종,Male,18-29,Conservative,Some college or more
immigrant_interviews_0550,잘 적응 할수 있을 것 같아서,Male,40-49,Centrist,Some college or more
immigrant_interviews_0551,이슬람이 아닌 사람을 더 원해서요,Female,50-59,Conservative,No college
immigrant_interviews_0552,"직업, 한국어가능여부",Female,18-29,Progressive,Some college or more
immigrant_interviews_0553,선진국에서 온 이민자가 더 좋을것 같아서,Female,50-59,Centrist,No college
immigrant_interviews_0554,한국에 이민이 아니고 공부를 하러 오기때문,Male,60+,Progressive,Some college or more
immigrant_interviews_0555,민족성 및 나라의 선호도,Female,30-39,Centrist,No college
immigrant_interviews_0556,자국민에게도 도움이 되며 국가에도 도움이 된다고 생각합니다,Female,50-59,Centrist,No college
immigrant_interviews_0557,모르겠네,Female,40-49,Centrist,Some college or more
immigrant_interviews_0558,그냥마음에들어서,Male,60+,Conservative,No college
immigrant_interviews_0559,일본 미국 싫다,Male,60+,Centrist,No college
immigrant_interviews_0560,한국어가 유창하다는 것은 한국에 관심도를 보여줌,Female,18-29,Progressive,Some college or more
immigrant_interviews_0561,적응력이 높음,Male,50-59,Progressive,Some college or more
immigrant_interviews_0562,마음에들어서,Male,18-29,Centrist,Some college or more
immigrant_interviews_0563,모르겠다. 그냥 돕고 싶었다.,Male,18-29,Centrist,Some college or more
immigrant_interviews_0564,동포,Female,60+,Progressive,No college
immigrant_interviews_0565,직업이 의사이고 한국말을 할 수 있다는 점,Female,50-59,Conservative,Some college or more
immigrant_interviews_0566,문화의 유사성,Female,50-59,Centrist,Some college or more
immigrant_interviews_0567,안정적인 직업,Male,50-59,Progressive,Some college or more
immigrant_interviews_0568,언어가 가능하고 한국에 정착 가능한 기술직,Male,40-49,Progressive,Some college or more
immigrant_interviews_0569,저희 한국오는게 목적의식이 뚜렷해보이고 취업을위해 한국에오니까 기회를 주고싶어서 선택을 하였습니다 !,Female,18-29,Progressive,Some college or more
immigrant_interviews_0570,확실한 신원,Male,18-29,Centrist,Some college or more
immigrant_interviews_0571,호감도,Male,60+,Centrist,Some college or more
immigrant_interviews_0572,장기간 한국 사회에 거주하면서 사회에 동화되어 살아갈 대상,Male,40-49,Progressive,Some college or more
immigrant_interviews_0573,동포,Female,50-59,Progressive,Some college or more
